"r" "obs" "theo" "lo" "hi"
"26" 6221.94801879905 5070033429.12204 121619336.467247 105288451.376117 145980404.165585
"27" 6470.82593955101 5438506860.00037 131543474.322974 114515285.505492 157622609.703586
"28" 6719.70386030297 5784690782.77265 141856794.055396 124713894.597188 165674490.420385
"29" 6968.58178105493 6182419193.04019 152559295.664514 136762713.768125 175759035.869973
"30" 7217.4597018069 6589446448.5873 163650979.150327 145237950.02092 192146841.424296
"31" 7466.33762255886 6971850822.03192 175131844.512835 156496293.523209 204046013.245713
"32" 7715.21554331082 7377241250.71093 187001891.752038 167238537.575082 216178153.122351
"33" 7964.09346406278 7791686792.05801 199261120.867937 176909574.662968 229964453.573923
"34" 8212.97138481474 8232601124.28105 211909531.86053 190406652.633298 243956682.957817
"35" 8461.84930556671 8681447311.70155 224947124.729819 200885758.893776 258577710.21392
"36" 8710.72722631867 9140561354.19289 238373899.475803 213676219.165186 269989821.380343
"37" 8959.60514707063 9587744610.57076 252189856.098483 225520418.42053 287339563.047318
"38" 9208.48306782259 10074897878.7984 266394994.597857 242445132.282327 304102263.418929
"39" 9457.36098857455 10541584454.7691 280989314.973927 251850079.488695 324490895.419705
"40" 9706.23890932652 11017248185.1238 295972817.226691 266150280.876458 336536334.633769
"41" 9955.11683007848 11528802219.372 311345501.356151 282962329.880202 351479351.029397
"42" 10203.9947508304 11984514278.0198 327107367.362306 298063004.20416 366235177.151194
"43" 10452.8726715824 12448414665.4772 343258415.245157 312276994.251328 384395588.649999
"44" 10701.7505923344 12941164728.9777 359798645.004702 328928377.425082 402828659.25312
"45" 10950.6285130863 13508850638.5539 376728056.640943 348591183.07661 421130233.347434
"46" 11199.5064338383 13978369371.1191 394046650.153879 360390433.289616 435951017.576081
"47" 11448.3843545902 14481400010.686 411754425.54351 373254593.372898 455664080.307862
"48" 11697.2622753422 15008849399.9572 429851382.809836 390468872.426297 473357592.957469
"49" 11946.1401960942 15514059957.5999 448337521.952858 407378119.509298 501081222.076189
"50" 12195.0181168461 16011622573.9184 467212842.972575 425301969.682271 518703741.14311
"51" 12443.8960375981 16542032047.2368 486477345.868986 440756896.376971 536073672.987383
"52" 12692.7739583501 17043644693.5773 506131030.642093 455636272.815836 555632024.250826
"53" 12941.651879102 17539597613.1894 526173897.291896 476351773.052528 579830862.790736
"54" 13190.529799854 18060049491.1408 546605945.818393 492198332.344498 595205338.707473
"55" 13439.4077206059 18556751519.1075 567427176.221586 511021069.900183 617020275.104409
"56" 13688.2856413579 19057606875.5696 588637588.501473 527273370.088895 640659893.502676
"57" 13937.1635621099 19595032458.3267 610237182.658056 555165947.322537 664091014.59209
"58" 14186.0414828618 20111950982.7484 632225958.691335 583052399.542051 686117529.259137
"59" 14434.9194036138 20622942547.5894 654603916.601308 598712202.342454 710951063.597808
"60" 14683.7973243658 21064991635.2197 677371056.387977 620205430.790206 736700114.131575
"61" 14932.6752451177 21553519556.1889 700527378.05134 638095633.169333 763167318.184155
"62" 15181.5531658697 22058871659.1407 724072881.591399 657001216.862965 784793459.314097
"63" 15430.4310866216 22581340080.806 748007567.008153 678525774.444555 813028048.667055
"64" 15679.3090073736 23076486635.8063 772331434.301603 700956200.492658 847014605.718393
"65" 15928.1869281256 23563922697.4497 797044483.471747 724377535.722666 863581979.144679
"66" 16177.0648488775 24043214281.3844 822146714.518587 747329880.381754 891425067.950873
"67" 16425.9427696295 24532265128.6876 847638127.442122 776253800.643212 917347463.783225
"68" 16674.8206903814 25023715007.8026 873518722.242352 803298336.790751 939770193.459342
"69" 16923.6986111334 25505739907.6976 899788498.919277 833522088.328192 960890295.277511
"70" 17172.5765318854 25988362002.8615 926447457.472898 867136503.744705 992491584.047686
"71" 17421.4544526373 26460738343.3236 953495597.903213 885148682.814546 1015909098.90098
"72" 17670.3323733893 26938427455.4745 980932920.210224 910448727.101643 1042548574.56619
"73" 17919.2102941413 27440034971.7142 1008759424.39393 945410866.448771 1075060530.2387
