"r" "obs" "theo" "lo" "hi"
"324" 80387.5684028837 69473942448.1095 20301478006.8662 19845341253.826 20824860208.0787
"325" 80636.4463236357 69535203307.0415 20427378343.9771 19970236322.7707 20951214388.6295
"326" 80885.3242443876 69596181711.9858 20553667862.9647 20094251296.13 21061591255.3739
"327" 81134.2021651396 69657875647.4662 20680346563.829 20229364333.6245 21190851661.2086
"328" 81383.0800858916 69711873525.7491 20807414446.5699 20328142072.4141 21323338547.9003
"329" 81631.9580066435 69770500104.7751 20934871511.1876 20483522636.2484 21474829503.9832
"330" 81880.8359273955 69853796953.3768 21062717757.682 20619311818.5718 21619261005.4234
"331" 82129.7138481474 69922370617.9414 21190953186.053 20752584048.9383 21778483375.8014
"332" 82378.5917688994 70000576441.8273 21319577796.3008 20880243121.2546 21916381723.7397
"333" 82627.4696896514 70070516707.3121 21448591588.4253 20988789374.7864 22032940076.6355
"334" 82876.3476104033 70131410303.517 21577994562.4264 21128792984.0477 22153803283.5235
"335" 83125.2255311553 70184424854.1257 21707786718.3043 21261102772.1738 22259433872.9081
"336" 83374.1034519073 70250537248.4127 21837968056.0588 21385063518.349 22405315023.6017
"337" 83622.9813726592 70301553369.2832 21968538575.69 21494058438.0043 22534555292.6593
"338" 83871.8592934112 70359166784.2404 22099498277.198 21617857134.2031 22655075792.3288
"339" 84120.7372141631 70419222333.3882 22230847160.5826 21736234026.3179 22799384397.7413
"340" 84369.6151349151 70472954679.0353 22362585225.8439 21849307073.7285 22888160198.3709
"341" 84618.4930556671 70542542075.7052 22494712472.9819 21979001753.4927 23034590617.9219
"342" 84867.370976419 70602900393.6944 22627228901.9966 22100957772.5169 23165266449.7399
"343" 85116.248897171 70673882716.8166 22760134512.8881 22235332383.2294 23296321073.8166
"344" 85365.126817923 70736505710.8719 22893429305.6562 22350599850.4885 23461833481.9812
"345" 85614.0047386749 70792191447.9837 23027113280.3009 22515025210.6649 23582290388.1227
"346" 85862.8826594269 70866649104.8271 23161186436.8224 22655076810.298 23745881102.3637
"347" 86111.7605801788 70919894582.5741 23295648775.2206 22784131041.5291 23861461981.5128
"348" 86360.6385009308 70985639948.4587 23430500295.4955 22940411205.5087 24003536199.1265
"349" 86609.5164216828 71063356782.3242 23565740997.6471 23077750571.4854 24129970389.0649
"350" 86858.3943424347 71125449583.4091 23701370881.6754 23199443333.6323 24273237895.9585
"351" 87107.2722631867 71216126360.4359 23837389947.5803 23326447479.5357 24382754182.9595
"352" 87356.1501839386 71276691365.9381 23973798195.362 23484894056.8314 24502903199.4171
"353" 87605.0281046906 71341810711.8795 24110595625.0204 23611743669.4707 24636476721.0344
"354" 87853.9060254426 71398920921.625 24247782236.5554 23735514652.2394 24777458825.7335
"355" 88102.7839461945 71467584780.5389 24385358029.9672 23857418601.746 24936308733.9407
"356" 88351.6618669465 71525388401.5952 24523323005.2556 23998320886.5762 25098626581.2949
"357" 88600.5397876984 71608504540.9106 24661677162.4207 24109158357.404 25239392208.6903
"358" 88849.4177084504 71673053245.3222 24800420501.4626 24249482114.2478 25384046141.396
"359" 89098.2956292024 71734984040.1661 24939553022.3811 24420073143.7301 25522531947.3909
"360" 89347.1735499543 71810175823.7424 25079074725.1763 24551141593.4386 25642304618.6794
"361" 89596.0514707063 71861710098.0403 25218985609.8483 24669231194.9456 25809274782.8979
"362" 89844.9293914583 71931791268.1088 25359285676.3969 24791772628.3336 25951631265.7025
"363" 90093.8073122102 71995561422.3465 25499974924.8222 24970791019.5296 26079312499.649
"364" 90342.6852329622 72057223856.3558 25641053355.1242 25096327690.5678 26225761362.7642
"365" 90591.5631537141 72128912351.3062 25782520967.3029 25218200537.2702 26369626939.8484
"366" 90840.4410744661 72203614956.3655 25924377761.3583 25331279322.1363 26534402675.2535
"367" 91089.3189952181 72267889733.3199 26066623737.2904 25468449630.6269 26690442395.5427
"368" 91338.19691597 72346174967.2148 26209258895.0992 25607099207.0503 26848021933.6977
"369" 91587.074836722 72410686322.1935 26352283234.7846 25723904060.9786 26972862445.7091
"370" 91835.9527574739 72486594268.8067 26495696756.3468 25852919287.1033 27131813770.4062
"371" 92084.8306782259 72554445805.7763 26639499459.7857 25977670394.0204 27298117226.0714
"372" 92333.7085989779 72622522424.8134 26783691345.1013 26129357391.9123 27413046364.6084
"373" 92582.5865197298 72686157525.5542 26928272412.2935 26269128244.2388 27561716235.8054
"374" 92831.4644404818 72747370612.836 27073242661.3625 26392366149.1502 27723860987.8692
"375" 93080.3423612338 72816014861.5711 27218602092.3081 26525736355.5722 27872677318.8673
"376" 93329.2202819857 72877910489.6064 27364350705.1305 26677351793.0323 28044305984.8438
"377" 93578.0982027377 72940684075.7778 27510488499.8295 26805552759.4846 28211274255.9276
"378" 93826.9761234896 73014870213.6421 27657015476.4053 26936718374.6464 28358220049.4123
"379" 94075.8540442416 73066637581.0471 27803931634.8577 27060579880.7432 28547445507.5375
"380" 94324.7319649936 73131903451.6515 27951236975.1868 27232252542.6563 28681480930.2223
"381" 94573.6098857455 73212307378.7767 28098931497.3927 27381552853.8815 28824984316.8791
"382" 94822.4878064975 73288399851.2445 28247015201.4752 27534428890.5707 28968590226.9876
"383" 95071.3657272495 73360828044.2463 28395488087.4344 27694201878.6232 29128315714.0184
"384" 95320.2436480014 73429987149.3867 28544350155.2703 27850959547.4429 29281788198.2635
"385" 95569.1215687534 73501617434.1515 28693601404.9829 28008952915.4323 29468552259.3274
"386" 95817.9994895053 73555054468.202 28843241836.5722 28186889563.0874 29649917734.6163
"387" 96066.8774102573 73632765813.0167 28993271450.0382 28354462311.8268 29777522293.2501
"388" 96315.7553310093 73698551768.5922 29143690245.3809 28488113245.5621 29956317549.1587
"389" 96564.6332517612 73780927969.9996 29294498222.6003 28654572009.205 30143724534.5231
"390" 96813.5111725132 73848212003.0353 29445695381.6963 28798371408.3075 30284607368.2046
"391" 97062.3890932652 73919877549.4402 29597281722.6691 28924849489.1454 30460049959.8195
"392" 97311.2670140171 73986938476.2736 29749257245.5186 29070985469.6987 30622498551.4258
"393" 97560.1449347691 74051792600.4077 29901621950.2448 29215165324.9236 30749139875.5943
"394" 97809.022855521 74123433926.5369 30054375836.8476 29396166271.916 30912061055.2179
"395" 98057.900776273 74183119850.9039 30207518905.3272 29558214540.7386 31046118625.2044
"396" 98306.778697025 74239960043.1557 30361051155.6834 29740074439.2602 31211192865.5331
"397" 98555.6566177769 74307942702.0774 30514972587.9164 29869403291.6901 31358594692.1806
"398" 98804.5345385289 74378018443.4687 30669283202.026 30044652094.6778 31546172786.4139
"399" 99053.4124592809 74450357960.0034 30823982998.0124 30192065623.6799 31710707198.9497
"400" 99302.2903800328 74513868292.2992 30979071975.8754 30345217389.6514 31884501484.4305
"401" 99551.1683007848 74593229414.7302 31134550135.6151 30475011687.3566 32010595289.178
"402" 99800.0462215367 74653536325.423 31290417477.2315 30609441576.2421 32188670052.9294
"403" 100048.924142289 74721001394.2868 31446674000.7247 30802750901.9789 32338166029.0565
"404" 100297.802063041 74787316523.857 31603319706.0945 30935018146.1505 32514454947.9783
"405" 100546.679983793 74863794489.9215 31760354593.341 31066349785.2459 32641630812.7905
"406" 100795.557904545 74921679282.5371 31917778662.4642 31237769280.7526 32805002254.8038
"407" 101044.435825297 74988072452.1652 32075591913.4641 31413652387.1502 32964951446.7769
"408" 101293.313746049 75058816065.6503 32233794346.3407 31570861773.7888 33115789524.6664
"409" 101542.1916668 75137009238.552 32392385961.094 31742044483.4809 33292779247.0663
"410" 101791.069587552 75201847751.6984 32551366757.724 31886288224.9426 33468001802.7617
"411" 102039.947508304 75274607417.0204 32710736736.2306 32001296536.8688 33596680840.1905
"412" 102288.825429056 75346980584.2162 32870495896.614 32192313232.9029 33742304524.9498
"413" 102537.703349808 75425269043.4008 33030644238.8741 32345996798.7332 33899931061.158
"414" 102786.58127056 75504782314.4945 33191181763.0108 32503996988.6068 34081644970.7422
"415" 103035.459191312 75566335141.8003 33352108469.0243 32650956292.1731 34242083722.8
"416" 103284.337112064 75620884834.5265 33513424356.9145 32813910928.5534 34419522493.1502
"417" 103533.215032816 75703943016.2184 33675129426.6813 32968603506.5721 34622421231.0628
"418" 103782.092953568 75771068052.8111 33837223678.3249 33107717655.4034 34753962973.7074
"419" 104030.97087432 75848319463.2282 33999707111.8451 33258373590.048 34946172798.1724
"420" 104279.848795072 75926981576.9295 34162579727.242 33404038652.1278 35085559475.8115
"421" 104528.726715824 76005008517.4814 34325841524.5157 33557293527.9385 35295488172.2839
"422" 104777.604636576 76091059084.0223 34489492503.666 33742277916.6895 35468216619.605
"423" 105026.482557328 76176380870.15 34653532664.693 33916079053.6328 35657652561.651
"424" 105275.36047808 76251882803.2586 34817962007.5967 34087103410.8126 35852889190.4894
"425" 105524.238398832 76332064579.3361 34982780532.3772 34258165749.3248 36047526394.8311
"426" 105773.116319584 76417385522.1608 35147988239.0343 34414394370.946 36197734944.4894
"427" 106021.994240336 76504552189.9471 35313585127.5681 34564458875.5666 36348680247.2023
"428" 106270.872161088 76565913461.5505 35479571197.9786 34742741345.3906 36497729569.1021
"429" 106519.75008184 76660561232.5817 35645946450.2658 34877733644.2442 36677078951.8677
"430" 106768.628002592 76736229004.1177 35812710884.4296 35058587194.9754 36861996851.9993
"431" 107017.505923344 76824260526.554 35979864500.4702 35223948397.7187 37039848928.1231
"432" 107266.383844096 76907415525.0257 36147407298.3875 35390613092.9683 37218563280.5747
"433" 107515.261764848 76967487152.0305 36315339278.1815 35557721065.4007 37377744530.215
"434" 107764.1396856 77060140145.1016 36483660439.8521 35708474253.9686 37577807573.7
"435" 108013.017606351 77127633315.1132 36652370783.3995 35866914693.3015 37753073535.4586
"436" 108261.895527103 77215757682.6649 36821470308.8236 35986947100.8231 37896391013.4937
"437" 108510.773447855 77307762974.3884 36990959016.1243 36164884878.9191 38071773696.9984
"438" 108759.651368607 77399003570.3613 37160836905.3018 36320448887.2518 38265227693.1779
"439" 109008.529289359 77465395324.8681 37331103976.3559 36501863690.9143 38433845689.4636
"440" 109257.407210111 77556229585.808 37501760229.2868 36658745379.1178 38634508918.5455
"441" 109506.285130863 77628286443.4044 37672805664.0943 36801972913.7742 38868525088.9427
"442" 109755.163051615 77701723148.3927 37844240280.7785 36984616337.0084 39043220033.9542
"443" 110004.040972367 77779432515.8961 38016064079.3395 37135408984.0298 39222896089.2255
"444" 110252.918893119 77888100156.5206 38188277059.7771 37292156874.4763 39372716013.1751
"445" 110501.796813871 77980601470.5386 38360879222.0914 37450015479.1659 39534692580.4575
"446" 110750.674734623 78040829305.6449 38533870566.2824 37614592628.4438 39698655817.9013
"447" 110999.552655375 78128696549.036 38707251092.3501 37800922850.8897 39863666575.3178
"448" 111248.430576127 78210734543.335 38881020800.2945 37971320459.7101 40033988215.7232
"449" 111497.308496879 78303065702.549 39055179690.1156 38114093165.0418 40239536912.7726
"450" 111746.186417631 78402475154.5932 39229727761.8134 38267977238.9689 40409430331.6855
"451" 111995.064338383 78480497054.7581 39404665015.3879 38459096120.248 40553529488.1187
"452" 112243.942259135 78569252986.4698 39579991450.8391 38642670121.3246 40732934270.7719
"453" 112492.820179887 78655794964.1493 39755707068.167 38797842791.2943 40937057353.2817
"454" 112741.698100639 78742985054.1465 39931811867.3715 38941238318.0437 41106943243.2301
"455" 112990.576021391 78811038423.4547 40108305848.4528 39087800244.1415 41283381585.1036
"456" 113239.453942143 78875836465.8089 40285189011.4108 39259105122.9487 41496708554.122
"457" 113488.331862895 78961321885.0638 40462461356.2454 39420573223.3512 41686648416.6448
"458" 113737.209783647 79036538195.8117 40640122882.9568 39548265098.043 41862280194.6641
"459" 113986.087704399 79116920214.3443 40818173591.5448 39751417413.6363 42030103270.7098
"460" 114234.965625151 79216736483.0078 40996613482.0096 39934272139.2238 42206850969.6765
"461" 114483.843545902 79317600544.0947 41175442554.351 40115263033.0079 42380959914.8253
"462" 114732.721466654 79401140535.3047 41354660808.5691 40297541355.3081 42525919385.8762
"463" 114981.599387406 79509591864.3308 41534268244.664 40449695802.8369 42732218570.7622
"464" 115230.477308158 79597088160.4511 41714264862.6355 40651485582.563 42905973351.1414
"465" 115479.35522891 79684929356.0388 41894650662.4837 40816542316.0882 43046029860.9756
"466" 115728.233149662 79777603583.5698 42075425644.2086 41001781754.399 43251844700.7063
"467" 115977.111070414 79874128111.2135 42256589807.8102 41176256662.1036 43439044778.7932
"468" 116225.988991166 79943384481.4034 42438143153.2885 41335907280.7559 43615324148.8236
"469" 116474.866911918 80005875878.4876 42620085680.6435 41507709721.5716 43788622519.107
"470" 116723.74483267 80098503693.0736 42802417389.8752 41674271321.1357 43975998604.2284
"471" 116972.622753422 80191264795.6307 42985138280.9836 41875465281.4893 44180052087.8504
"472" 117221.500674174 80286766627.7958 43168248353.9687 42070681500.7886 44395696648.7814
"473" 117470.378594926 80378964876.2259 43351747608.8305 42249451707.9746 44583145251.4902
"474" 117719.256515678 80468949017.1562 43535636045.569 42458497527.4044 44787987399.4653
"475" 117968.13443643 80572142293.631 43719913664.1842 42637468156.2046 44987607038.6157
"476" 118217.012357182 80677952783.8081 43904580464.676 42791329240.4947 45189704175.3925
"477" 118465.890277934 80747233325.8181 44089636447.0446 42951556734.4559 45383605302.3364
"478" 118714.768198686 80811706560.8567 44275081611.2898 43123679899.4489 45592202418.4988
"479" 118963.646119438 80900591815.1126 44460915957.4118 43324072675.1702 45841588399.7343
"480" 119212.52404019 81035682709.3067 44647139485.4104 43519026348.677 46003162036.5293
"481" 119461.401960942 81138012053.7624 44833752195.2858 43690285647.4037 46173925335.3239
"482" 119710.279881694 81239983869.3454 45020754087.0378 43935613471.9271 46364932634.2804
"483" 119959.157802446 81361497403.8433 45208145160.6665 44091204715.4686 46559095525.0948
"484" 120208.035723198 81445491595.7468 45395925416.172 44286689776.8803 46766684107.4679
"485" 120456.91364395 81548675537.2357 45584094853.5541 44487155156.2791 46958777749.4164
"486" 120705.791564702 81659222474.6166 45772653472.8129 44680332540.4554 47097032428.7997
"487" 120954.669485454 81753323677.4786 45961601273.9484 44880125760.5767 47302696819.4511
"488" 121203.547406205 81864595937.9686 46150938256.9607 45040946249.7955 47483285024.6452
"489" 121452.425326957 81946484233.8859 46340664421.8495 45213603261.2548 47658432119.8271
"490" 121701.303247709 82049467503.0909 46530779768.6152 45383484489.179 47837358328.6301
"491" 121950.181168461 82129019781.3596 46721284297.2575 45610688690.6803 48015414317.3905
"492" 122199.059089213 82242210459.8956 46912178007.7764 45811837344.1279 48221216832.3439
"493" 122447.937009965 82352651152.2388 47103460900.1721 45981084877.6053 48450059789.8909
"494" 122696.814930717 82463996098.0518 47295132974.4445 46165209184.0701 48636735666.7051
"495" 122945.692851469 82549600569.0972 47487194230.5936 46339604638.5212 48838788397.2846
"496" 123194.570772221 82658847098.2027 47679644668.6194 46487116061.3171 49025012063.5293
"497" 123443.448692973 82748604541.4642 47872484288.5218 46698972315.4696 49207584765.5105
"498" 123692.326613725 82835275549.3524 48065713090.301 46880926109.0994 49431839956.1448
"499" 123941.204534477 82925340246.147 48259331073.9568 47045952736.7062 49611534521.8973
"500" 124190.082455229 83003086886.5511 48453338239.4894 47265408331.7827 49766706087.2074
"501" 124438.960375981 83093992430.2091 48647734586.8986 47443848693.8201 49969152928.3699
"502" 124687.838296733 83159421935.6998 48842520116.1846 47623220372.915 50151959145.2665
"503" 124936.716217485 83229726774.3911 49037694827.3472 47821288200.8825 50353996304.3672
"504" 125185.594138237 83306287794.5893 49233258720.3866 48002466069.4479 50584179617.4036
"505" 125434.472058989 83407880430.4656 49429211795.3026 48170871680.8518 50756663088.4126
"506" 125683.349979741 83465034368.2852 49625554052.0953 48376625709.4022 50947961038.5671
"507" 125932.227900493 83582170155.3004 49822285490.7647 48551600639.0272 51132427930.0038
"508" 126181.105821245 83653594490.9815 50019406111.3108 48718669342.3441 51341812323.1473
"509" 126429.983741997 83736663185.9512 50216915913.7336 48884499703.2162 51547870358.4621
"510" 126678.861662749 83835400436.5962 50414814898.0331 49104846652.8351 51751618912.6713
"511" 126927.739583501 83937833644.6293 50613103064.2093 49303326586.6343 51970135521.7732
"512" 127176.617504253 84051005417.2326 50811780412.2622 49506045871.7983 52209738272.8382
"513" 127425.495425005 84124889188.797 51010846942.1918 49695756426.4452 52424330663.7353
