COD_MUN	COD_DEPTO	nbi	msnm
15664	15	44.83407	1525
27491	27	66.18781	100
25841	25	32.15138	1820
15464	15	47.14031	3000
15466	15	30.14463	2900
15244	15	54.66996	2700
25019	25	25.78288	2245
86760	86	39.98285	2125
17665	17	25.2327	1750
68318	68	44.70547	2311
68250	68	67.34056	2650
15580	15	53.77992	1200
73152	73	32.54773	1900
54398	54	50.83189	1500
15667	15	33.5263	400
50683	50	39.3827	648
68147	68	46.26664	1100
68162	68	46.14636	2496
50680	50	39.03266	230
68271	68	53.85364	1600
76054	76	29.60448	1512
5856	5	26.24622	1358
15835	15	32.11255	2450
73686	73	29.08949	2270
17388	17	25.77827	1800
25293	25	33.67311	1700
52022	52	36.81181	3013
5315	5	48.21782	1725
68320	68	32.07795	1410
41483	41	42.27642	1475
52233	52	100	1675
18029	18	35.03004	270
73622	73	35.51184	2550
27250	27	77.55017	25
15764	15	46.26042	2799
27135	27	52.54929	35
5044	5	51.33632	625
63548	63	23.85579	1650
15822	15	60.63521	2875
27495	27	45.24226	5
25599	25	37.59081	417
54099	54	29.3056	1058
5113	5	70.30227	1600
63690	63	20.86041	1900
19290	19	46.74094	1500
25862	25	52.13523	1350
27050	27	80.11331	55
25845	25	28.16662	2380
5321	5	14.50622	1891
41349	41	32.67598	595
25797	25	24.17227	1350
5055	5	38.96526	1700
25530	25	38.88194	250
5543	5	74.51007	1200
5885	5	44.94167	1200
52210	52	65.4466	2900
52254	52	54.36806	1650
70204	70	81.5065	160
15367	15	41.83066	2075
54313	54	32.89902	1047
54599	54	44.18099	1555
15757	15	29.13997	2667
27245	27	31.6987	1726
5652	5	49.9201	1250
25281	25	38.92386	2100
18860	18	46.9361	225
15442	15	47.63456	1250
25596	25	42.72497	1448
50590	50	100	200
13655	13	90.42538	25
85230	85	62.83223	131
52354	52	55.42582	2600
15790	15	39.48987	2525
68872	68	34.40259	1470
5036	5	25.97277	1950
91540	91	58.34801	100
52720	52	36.21629	3014
5347	5	34.27201	1450
