X	Y	Magnitud
726958,680000	616831,920000	1,900000
727717,300000	982071,690000	2,000000
727927,060000	1041840,200000	1,900000
728023,700000	1067297,390000	1,900000
731053,600000	983167,520000	2,600000
731224,970000	1032973,470000	3,400000
731607,720000	1351752,960000	1,600000
731787,480000	1171326,360000	1,700000
731878,220000	885767,700000	2,400000
732242,550000	1265409,280000	1,900000
732592,590000	678804,020000	2,200000
732792,230000	800545,020000	1,200000
733174,460000	951063,840000	1,800000
733848,300000	1135898,080000	1,700000
734292,430000	953274,000000	2,100000
735338,290000	931135,590000	1,200000
736155,360000	1156917,960000	1,900000
736671,860000	1266493,530000	3,000000
738547,530000	884643,740000	2,400000
738691,780000	937766,400000	1,500000
738752,330000	1239918,630000	2,700000
738757,270000	959901,000000	2,200000
738868,640000	995316,540000	2,800000
739095,220000	1060614,660000	1,100000
739871,730000	961004,360000	1,800000
740304,500000	1087172,620000	1,800000
741516,950000	690966,510000	2,200000
741903,170000	892382,170000	2,300000
742345,340000	1038467,890000	2,200000
742866,870000	829298,480000	5,300000
743432,370000	1031823,720000	2,600000
743466,910000	1041784,180000	1,800000
743717,550000	1109294,640000	2,600000
744051,320000	861389,550000	2,000000
744506,590000	1285270,310000	2,100000
745475,560000	1257595,190000	2,600000
745759,030000	1314041,360000	1,200000
746549,670000	1250949,240000	2,200000
746674,740000	1005251,770000	2,300000
747585,780000	938847,840000	2,500000
748221,170000	708664,050000	1,700000
748690,950000	936631,420000	2,800000
748819,640000	980897,900000	1,400000
749845,750000	952121,470000	2,100000
749917,050000	976467,890000	1,800000
750898,510000	931092,080000	2,800000
751352,280000	1074957,540000	1,700000
752009,900000	931089,080000	3,500000
752080,300000	1250923,080000	2,300000
752153,510000	1266417,340000	2,200000
752202,630000	997487,520000	2,500000
752276,470000	1020727,190000	2,100000
753142,270000	938832,470000	2,100000
753344,240000	1007443,850000	2,300000
753431,370000	1301827,580000	3,200000
754241,560000	934402,960000	1,800000
754660,790000	1069412,390000	3,500000
755227,510000	1431312,980000	3,200000
755393,480000	1249800,950000	4,300000
756455,370000	931077,190000	2,400000
757540,740000	921114,890000	2,000000
757844,970000	1026242,440000	2,300000
758813,020000	979761,470000	1,800000
759885,690000	966479,150000	2,100000
760058,070000	1024022,140000	1,500000
761057,000000	987501,120000	2,600000
761063,510000	989714,300000	1,800000
761108,060000	1289616,200000	1,900000
761994,970000	924423,230000	3,300000
763160,840000	1255299,130000	2,000000
763190,810000	1261939,100000	2,900000
763265,360000	983068,340000	3,000000
763562,390000	1077127,920000	1,500000
763612,380000	1091513,690000	2,100000
764382,530000	1280747,280000	2,900000
764427,710000	1000770,210000	2,900000
764928,220000	1147946,430000	1,500000
765101,680000	1423510,260000	2,200000
767056,950000	615694,050000	1,800000
767313,450000	814863,740000	2,500000
767565,740000	929941,870000	2,100000
768532,410000	867974,050000	2,000000
768647,030000	1245314,970000	2,400000
769850,830000	954279,730000	2,900000
769939,490000	1287361,810000	2,900000
770473,490000	696464,060000	1,500000
770650,920000	814857,570000	3,500000
771613,820000	718592,140000	2,900000
772195,070000	1297311,360000	2,100000
772229,170000	1010706,180000	4,700000
772275,240000	1026197,520000	1,700000
772867,880000	810427,610000	1,700000
773105,890000	923289,040000	2,200000
773755,800000	1137954,160000	4,500000
775092,880000	810423,640000	2,300000
775265,020000	1240860,310000	2,000000
775655,250000	1042785,160000	1,800000
775932,490000	547089,030000	2,900000
777449,960000	1234211,720000	1,600000
778275,590000	704200,140000	1,800000
778426,470000	808204,880000	4,800000
778432,270000	811524,210000	1,800000
778834,670000	990770,320000	2,300000
779973,930000	1307235,830000	1,800000
780497,020000	699771,910000	2,700000
780503,350000	705303,980000	2,300000
781611,530000	700877,060000	1,500000
781956,280000	1254111,450000	2,400000
782567,410000	1122431,690000	3,700000
783270,460000	988545,400000	3,700000
784395,660000	994074,660000	1,900000
784761,890000	1115785,310000	1,300000
784936,940000	687596,680000	2,100000
785022,500000	757299,210000	2,300000
785101,300000	808193,470000	1,700000
785454,330000	1297252,610000	2,600000
785863,040000	1113568,690000	2,700000
786060,830000	697552,940000	1,500000
786070,680000	706403,980000	4,200000
786578,700000	979685,140000	1,800000
787146,100000	669892,420000	2,700000
787552,720000	923255,110000	2,100000
787644,610000	961979,570000	2,400000
788289,690000	699763,260000	3,000000
788308,500000	716358,780000	1,700000
788958,530000	1038319,830000	3,000000
789412,710000	708612,940000	2,300000
789860,730000	959761,290000	2,900000
790514,920000	698654,490000	1,300000
791628,130000	698653,300000	2,000000
791642,750000	711929,490000	2,700000
791644,010000	713035,840000	2,500000
792074,410000	1295011,550000	1,900000
792747,280000	704183,830000	2,600000
792755,870000	711928,230000	1,100000
793457,250000	1059329,010000	2,700000
793872,740000	715245,980000	2,500000
794974,790000	705287,740000	2,200000
795335,290000	1281720,120000	2,000000
795344,190000	1283933,080000	2,800000
795635,080000	1044939,440000	2,300000
796757,030000	1049361,900000	3,000000
797683,810000	979657,230000	1,800000
798772,950000	970803,650000	1,600000
799432,060000	709708,190000	2,000000
800116,330000	1060416,340000	1,800000
802040,310000	1300503,480000	2,500000
802864,890000	1226368,300000	1,700000
803848,040000	672089,920000	2,000000
803943,620000	1218619,480000	1,800000
804989,460000	701958,330000	2,300000
805003,350000	715233,640000	1,800000
805084,020000	780504,170000	2,700000
805208,330000	859050,810000	2,800000
806112,850000	711913,630000	1,400000
806195,060000	779396,340000	2,400000
806601,600000	994018,120000	1,200000
807438,050000	1267289,360000	4,100000
807475,250000	1277247,050000	1,500000
808617,930000	1287200,580000	1,700000
809456,600000	716335,140000	2,900000
809628,660000	1261749,230000	1,700000
810815,500000	1283873,070000	2,100000
812893,130000	795980,970000	1,800000
813096,710000	916562,950000	1,200000
813928,810000	735136,410000	2,300000
813945,410000	749517,440000	1,800000
814149,530000	885585,500000	1,700000
814385,960000	999531,190000	1,700000
815288,490000	1298239,700000	1,500000
816409,540000	1302661,130000	2,000000
817255,460000	724070,560000	2,200000
817537,190000	914341,820000	2,800000
817545,690000	918766,800000	1,400000
817961,040000	1096876,010000	1,500000
817994,640000	1109045,260000	2,100000
818368,370000	724069,390000	1,400000
818420,350000	769424,050000	2,000000
819510,400000	750617,140000	1,900000
819761,650000	915443,830000	2,800000
820642,800000	767208,890000	1,100000
822842,320000	745082,370000	2,000000
824208,330000	916541,740000	3,700000
824684,050000	1123408,520000	1,300000
825103,850000	776052,970000	1,800000
826169,890000	735123,140000	1,800000
826370,260000	1308156,960000	2,100000
826451,070000	927599,700000	2,200000
826568,330000	986228,940000	1,300000
827299,310000	750608,330000	1,700000
827510,260000	898836,500000	5,000000
827678,570000	986226,590000	1,000000
827801,520000	1396660,710000	2,800000
828826,610000	1003923,630000	3,700000
829545,950000	769410,590000	1,900000
830600,510000	714101,690000	2,700000
830608,930000	722950,890000	1,700000
830611,080000	725163,190000	2,100000
830618,780000	732906,240000	1,700000
830659,770000	770515,450000	2,300000
831729,360000	730692,830000	2,900000
831760,940000	760558,800000	1,700000
831762,180000	761664,950000	2,600000
832369,740000	1095731,960000	1,800000
833957,130000	732902,900000	1,500000
833959,330000	735115,170000	1,300000
835089,130000	751706,040000	1,900000
835097,470000	759448,970000	2,100000
835102,350000	763873,510000	2,400000
835521,660000	1020502,210000	1,500000
836187,030000	737325,210000	2,400000
836288,030000	1301485,210000	1,700000
836821,320000	1449731,570000	2,300000
837322,620000	759446,550000	1,300000
838446,050000	769400,440000	1,900000
839720,350000	889966,890000	1,500000
840032,310000	1053677,940000	1,500000
840226,890000	1476271,060000	3,500000
840654,540000	753912,450000	1,500000
840666,220000	764973,540000	2,200000
840814,820000	1334658,980000	1,700000
842897,180000	770501,670000	2,400000
844004,920000	766076,080000	2,000000
844133,350000	1336860,570000	2,400000
844473,870000	1055880,500000	2,900000
845111,650000	760544,450000	1,400000
